seq_label,pep_contact_tier,ipae_iface_pep,ipae_iface,ipae_iface_mhc,iplddt_iface,iptm,source_scaffold,scaffold_cluster_k8,net_charge,n_C,binder_length
design_3010_seq00,control_grade,2.1006666666666667,2.9849029126213598,3.348287671232877,89.26783132530122,0.85,scaf109,6.0,-8,2,73
design_3066_seq02,weak,3.9670967741935486,3.3667934782608695,3.24516339869281,89.68462686567165,0.78,scaf172,1.0,-5,1,82
design_3054_seq01,weak,5.233714285714286,5.385903614457831,5.426564885496184,89.32666666666667,0.76,scaf158,1.0,-10,0,86
design_3067_seq02,weak,5.928548387096775,4.986516393442622,4.6656043956043955,79.42729411764707,0.75,scaf173,2.0,-23,1,71
design_3103_seq02,weak,5.9775949367088606,3.269022082018928,2.369957983193278,87.97495412844036,0.79,scaf51,1.0,-12,0,88
design_3054_seq03,poor,6.309130434782608,6.583450704225352,6.714895833333333,88.53983870967743,0.75,scaf158,1.0,-10,0,86
design_3029_seq03,poor,7.820153846153846,7.677964071856287,7.58735294117647,83.28455882352941,0.7,scaf13,5.0,-10,0,102
design_3106_seq01,poor,8.23,8.5259670781893,8.527190082644628,81.55988372093023,0.66,scaf54,6.0,-16,5,111
design_3147_seq03,poor,8.621428571428572,9.387636363636364,9.649268292682926,78.42584415584416,0.65,scaf95,4.0,-26,2,111
design_3004_seq03,poor,8.732428571428574,8.254314720812184,7.990787401574804,74.16565217391305,0.7,scaf102,2.0,-4,0,71
